league,avg_total_goals
FC 24. 4x4. Championnat d'Angleterre,14.809021462349946
FC 25. 3x3. Ligue de conférence,15.229822161422709
FC 25. Championnat d'Allemagne,3.2559670781893004
FC 25. Championnat d'Angleterre,3.0319573901464714
FC 25. Championnat d'Espagne,3.1232227488151656
FC 25. Champions League,3.3033175355450237
FC 25. Italy Championship,3.087820512820513
FC 25. Ligue européenne,3.236697247706422
FC 26. 5x5 Rush. Superligue,7.430439952437574
FC 26. Championnat du monde,2.9859154929577465
FC 26. Champions League,3.393978219090327
FC 26. Spain Championship,3.613924050632911
FC24. Penalty,7.785921205098494
FC25. Penalty,7.519100514765646
FC26. Penalty,6.884330202669303
FIFA23. Penalty,8.689530685920577
Penalty,5.153718734470764
World Cup 2026. Simulation,3.3198529411764706
